Temp (C),Dew Point Temp (C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Stn Press (kPa),hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_power_potential,output_mw_lag_1h,available_capacity_mw,weather_quality_bad,weather_quality_good
0.1,-1.9,87,0.1,14.5,10,100.6,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7431448254773942,0.6691306063588582,3048.625,60,120,1,0
-0.4,-2.8,84,0.1,14.0,10,100.62,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7193398003386512,0.6946583704589973,2744.0,60,120,1,0
-0.8,-3.3,83,0.1,13.5,10,100.67999999999999,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.6691306063588582,0.7431448254773942,2460.375,60,120,1,0
-1.2,-4.1,81,0.2,12.7,10,100.71000000000001,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.6819983600624985,0.7313537016191705,2048.383,60,120,1,0
-1.6,-4.9,78,0.1,12.0,10,100.72999999999999,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.6293203910498374,0.7771459614569709,1728.0,60,120,1,0
-2.0,-6.1,74,0.0,10.7,10,100.76,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.6427876096865393,0.766044443118978,1225.0429999999997,60,120,1,0
-2.2,-6.8,70,0.0,10.4,10,100.82000000000001,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.5591929034707469,0.8290375725550417,1124.864,60,120,1,0
-2.4,-7.3,69,0.0,9.2,10,100.89,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.6293203910498374,0.7771459614569709,778.6879999999999,60,120,1,0
-2.4,-6.8,72,0.0,7.4,10,101.0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.6819983600624985,0.7313537016191705,405.22400000000005,60,120,1,0
-2.3,-6.8,71,0.0,6.6,10,101.05,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.754709580222772,0.6560590289905073,287.496,60,120,1,0
-1.9,-6.8,69,0.0,5.9,10,101.11,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.6156614753256583,0.7880107536067219,205.37900000000005,60,120,1,0
-1.4,-6.4,69,0.0,4.8,10,101.13,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.224951054343865,0.9743700647852352,110.59199999999998,60,120,1,0
-0.9,-6.1,68,0.0,7.1,10,101.1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.6560590289905074,0.7547095802227719,357.91099999999994,60,120,1,0
